AsOf,FEDL01 Index,US0003M Index,GT2 Govt,GT3 Govt,GT5 Govt
2006-12-29,5.24,5.36,4.812,4.732,4.694
2007-01-31,5.25,5.36,4.921,4.85,4.802
2007-02-28,5.26,5.34813,4.646,4.564,4.521
2007-03-30,5.26,5.35,4.579,4.534,4.537
2007-04-30,5.25,5.355,4.595,4.5280000000000005,4.512
2007-05-31,5.25,5.36,4.912,4.87,4.851
2007-06-29,5.25,5.36,4.862,4.885,4.923
2007-07-31,5.26,5.3586599999999995,4.522,4.507,4.563
2007-08-31,5.02,5.62125,4.136,4.148,4.246
2007-09-28,4.94,5.22875,3.988,4.02,4.248
2007-10-31,4.76,4.89375,3.949,3.9219999999999997,4.17
2007-11-30,4.49,5.13125,2.9989999999999997,3.009,3.387
2007-12-31,4.24,4.7025,3.051,3.009,3.4410000000000003
2008-01-31,3.94,3.1118799999999998,2.097,3.009,2.762
2008-02-29,2.98,3.0575,1.62,3.009,2.474
2008-03-31,2.61,2.68813,1.5859999999999999,3.009,2.438
2008-04-30,2.28,2.85,2.258,3.009,3.011
2008-05-30,1.99,2.68063,2.645,3.009,3.423
2008-06-30,2.0,2.78313,2.62,3.009,3.3289999999999997
2008-07-31,2.01,2.79125,2.512,3.009,3.237
2008-08-29,2.0,2.8106299999999997,2.371,3.009,3.093
2008-09-30,1.81,4.0525,1.964,3.009,2.9810000000000003
2008-10-31,0.97,3.02625,1.5519999999999998,3.009,2.833
2008-11-28,0.39,2.2168799999999997,0.985,1.261,1.916
2008-12-31,0.16,1.425,0.768,0.971,1.551
2009-01-30,0.15,1.18438,0.95,1.334,1.88
2009-02-27,0.22,1.2643799999999998,0.9740000000000001,1.3719999999999999,1.986
2009-03-31,0.18,1.1918799999999998,0.8,1.124,1.6569999999999998
2009-04-30,0.15,1.01625,0.903,1.361,2.012
2009-05-29,0.18,0.65625,0.919,1.405,2.342
2009-06-30,0.21,0.595,1.113,1.6219999999999999,2.556
2009-07-31,0.16,0.47938000000000003,1.115,1.59,2.516
2009-08-31,0.16,0.3475,0.972,1.4709999999999999,2.387
2009-09-30,0.15,0.28688,0.9490000000000001,1.426,2.313
2009-10-30,0.12,0.28063,0.893,1.3940000000000001,2.31
2009-11-30,0.12,0.25656,0.667,1.103,2.001
2009-12-31,0.12,0.25063,1.139,1.679,2.681
2010-01-29,0.11,0.24906,0.816,1.351,2.325
2010-02-26,0.13,0.25169,0.816,1.334,2.303
2010-03-31,0.16,0.2915,1.02,1.5730000000000002,2.545
2010-04-30,0.2,0.34656,0.9640000000000001,1.486,2.418
2010-05-31,0.2,0.53625,0.77,1.237,2.094
2010-06-30,0.18,0.53394,0.605,0.966,1.775
2010-07-30,0.18,0.45375,0.55,0.825,1.598
2010-08-31,0.19,0.29563,0.473,0.6990000000000001,1.3330000000000002
2010-09-30,0.19,0.29,0.426,0.63,1.265
2010-10-29,0.19,0.28594,0.34,0.49700000000000005,1.168
2010-11-30,0.19,0.30030999999999997,0.457,0.701,1.4680000000000002
2010-12-31,0.18,0.30280999999999997,0.597,0.99,2.008
2011-01-31,0.17,0.30438000000000004,0.5660000000000001,0.96,1.942
2011-02-28,0.16,0.3095,0.684,1.167,2.14
2011-03-31,0.14,0.303,0.825,1.301,2.278
2011-04-29,0.1,0.273,0.605,0.9940000000000001,1.969
2011-05-31,0.09,0.25288,0.47,0.782,1.7
2011-06-30,0.09,0.24575,0.46,0.797,1.7619999999999998
2011-07-29,0.07,0.2555,0.35700000000000004,0.5379999999999999,1.3559999999999999
2011-08-31,0.1,0.32721999999999996,0.201,0.32,0.963
2011-09-30,0.08,0.37433,0.245,0.40299999999999997,0.953
2011-10-31,0.07,0.42944,0.24,0.384,0.961
2011-11-30,0.08,0.52889,0.256,0.395,0.953
2011-12-30,0.07,0.581,0.24100000000000002,0.355,0.833
2012-01-31,0.08,0.54235,0.217,0.294,0.705
2012-02-29,0.1,0.48425,0.295,0.41100000000000003,0.86
2012-03-30,0.13,0.46815,0.331,0.502,1.0390000000000001
2012-04-30,0.14,0.46585,0.259,0.374,0.809
2012-05-31,0.16,0.46685,0.264,0.344,0.6559999999999999
2012-06-29,0.16,0.4606,0.303,0.395,0.7190000000000001
2012-07-31,0.16,0.4426,0.213,0.281,0.5820000000000001
2012-08-31,0.13,0.41825,0.222,0.29100000000000004,0.591
2012-09-28,0.14,0.3585,0.23199999999999998,0.307,0.626
2012-10-31,0.16,0.31275,0.28300000000000003,0.382,0.722
2012-11-30,0.16,0.3105,0.248,0.32299999999999995,0.618
2012-12-31,0.16,0.306,0.249,0.353,0.7240000000000001
2013-01-31,0.14,0.298,0.264,0.40299999999999997,0.879
2013-02-28,0.15,0.2871,0.23600000000000002,0.344,0.762
2013-03-29,0.14,0.2826,0.244,0.35,0.765
2013-04-30,0.15,0.2731,0.209,0.307,0.677
2013-05-31,0.11,0.27525,0.295,0.486,1.0190000000000001
2013-06-28,0.09,0.2731,0.35700000000000004,0.648,1.395
2013-07-31,0.09,0.2656,0.311,0.5920000000000001,1.379
2013-08-30,0.08,0.2595,0.401,0.782,1.642
2013-09-30,0.08,0.24885,0.319,0.612,1.382
2013-10-31,0.09,0.242,0.307,0.57,1.33
2013-11-29,0.08,0.2391,0.28300000000000003,0.546,1.371
2013-12-31,0.09,0.2461,0.382,0.7659999999999999,1.743
2014-01-31,0.07,0.2366,0.33,0.6659999999999999,1.4909999999999999
2014-02-28,0.07,0.23565,0.319,0.669,1.5019999999999998
2014-03-31,0.08,0.2306,0.42,0.8690000000000001,1.719
2014-04-30,0.09,0.22335,0.41200000000000003,0.852,1.6769999999999998
2014-05-30,0.09,0.2274,0.375,0.774,1.54
2014-06-30,0.1,0.2307,0.45899999999999996,0.868,1.631
2014-07-31,0.09,0.2391,0.53,0.992,1.754
2014-08-29,0.09,0.2336,0.49,0.93,1.626
2014-09-30,0.09,0.2351,0.569,1.0390000000000001,1.757
2014-10-31,0.09,0.2321,0.493,0.922,1.61
2014-11-28,0.09,0.2336,0.47,0.85,1.4809999999999999
2014-12-31,0.12,0.2556,0.6659999999999999,1.071,1.6540000000000001
2015-01-30,0.11,0.2531,0.451,0.737,1.156
2015-02-27,0.11,0.26185,0.62,0.9990000000000001,1.5
2015-03-31,0.11,0.27075,0.557,0.88,1.371
2015-04-30,0.12,0.27875,0.569,0.902,1.426
2015-05-29,0.12,0.28375,0.607,0.9259999999999999,1.486
2015-06-30,0.13,0.2832,0.645,1.005,1.649
2015-07-31,0.13,0.3086,0.6629999999999999,0.973,1.53
2015-08-31,0.14,0.32899999999999996,0.7390000000000001,1.052,1.5490000000000002
2015-09-30,0.14,0.325,0.631,0.902,1.358
2015-10-30,0.12,0.3341,0.726,1.025,1.5190000000000001
2015-11-30,0.12,0.4162,0.932,1.222,1.645
2015-12-31,0.24,0.6127,1.05,1.308,1.761
2016-01-29,0.34,0.6126,0.7759999999999999,0.968,1.329
2016-02-29,0.38,0.6331,0.7759999999999999,0.893,1.213
2016-03-31,0.36,0.6286,0.723,0.8540000000000001,1.206
2016-04-29,0.37,0.6366,0.784,0.935,1.295
2016-05-31,0.37,0.6858,0.879,1.032,1.3730000000000002
2016-06-30,0.38,0.6541,0.584,0.6940000000000001,1.0
2016-07-29,0.39,0.7591,0.657,0.7490000000000001,1.025
2016-08-31,0.4,0.8393299999999999,0.807,0.9229999999999999,1.198
2016-09-30,0.4,0.85367,0.764,0.8759999999999999,1.15
2016-10-31,0.4,0.88428,0.843,0.991,1.308
2016-11-30,0.41,0.9341700000000001,1.115,1.3940000000000001,1.8430000000000002
2016-12-30,0.54,0.9978899999999999,1.19,1.452,1.9280000000000002
2017-01-31,0.65,1.0345600000000001,1.206,1.463,1.9140000000000001
2017-02-28,0.66,1.064,1.262,1.52,1.93
2017-03-31,0.79,1.1495600000000001,1.256,1.49,1.922
2017-04-28,0.9,1.1723299999999999,1.264,1.444,1.815
2017-05-31,0.91,1.21,1.284,1.4340000000000002,1.7519999999999998
2017-06-30,1.04,1.2991700000000002,1.3840000000000001,1.547,1.889
2017-07-31,1.15,1.31056,1.3519999999999999,1.5090000000000001,1.837
2017-08-31,1.16,1.31778,1.328,1.429,1.703
2017-09-29,1.15,1.33389,1.486,1.624,1.9369999999999998
2017-10-31,1.15,1.3812200000000001,1.6019999999999999,1.7269999999999999,2.017
2017-11-30,1.16,1.48738,1.784,1.893,2.138
